Brand;GTIN;;Colour;Size;The Sports Edit URL;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407249;MA2308a;BLK/SIL;S;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407256;MA2308a;BLK/SIL;M;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407263;MA2308a;BLK/SIL;L;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407270;MA2308a;BLK/SIL;XL;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178019;MA2442e;TTM/BLK;S;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178026;MA2442e;TTM/BLK;M;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178170;MA2442e;TTM/BLK;L;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178187;MA2442e;TTM/BLK;XL;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341819;MA3244e;BLK/BLK;S;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341826;MA3244e;BLK/BLK;M;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341833;MA3244e;BLK/BLK;L;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341840;MA3244e;BLK/BLK;XL;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528340;MA4411b;BLK/NRO;S;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528357;MA4411b;BLK/NRO;ST;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528364;MA4411b;BLK/NRO;M;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528371;MA4411b;BLK/NRO;MT;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528388;MA4411b;BLK/NRO;L;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528401;MA4411b;BLK/NRO;XL;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528609;MA4413b;BLK/NRO;S;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528616;MA4413b;BLK/NRO;M;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528623;MA4413b;BLK/NRO;L;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528630;MA4413b;BLK/NRO;XL;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528999;MA4476b;BLK/NRO;S;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529019;MA4476b;BLK/NRO;M;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529033;MA4476b;BLK/NRO;L;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529057;MA4476b;BLK/NRO;XL;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528869;MA4476b;BLK/SIL;S;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528876;MA4476b;BLK/SIL;ST;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528883;MA4476b;BLK/SIL;M;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528890;MA4476b;BLK/SIL;MT;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
