Brand;;Colour;The Sports Edit URL;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA2308a;BLK/SIL;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA2442e;TTM/BLK;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA3244e;BLK/BLK;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA4411b;BLK/NRO;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA4413b;BLK/NRO;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA4476b;BLK/NRO;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA4476b;BLK/SIL;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;;;
2XU;MA4478b;BLK/SIL;https://thesportsedit.com/products/2xu-compression-shorts-black-silver;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA2443e;HPK/GRY;https://thesportsedit.com/products/2xu-womens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA2864b;BLK/DBK;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA2864b;BLK/FCL;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA2865b;BLK/DBK;https://thesportsedit.com/products/2xu-mid-rise-3-4-compression-tights;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA3245e;BLK/BLK;https://thesportsedit.com/products/2xu-womens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA4177b;BLK/SIL;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;;;
2XU;WA2864b;BLK/DRF;https://thesportsedit.com/products/2xu-mid-rise-compression-tights-reflective;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;White Camo;https://thesportsedit.com/products/alo-yoga-airbrush-legging-white-camo;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;BLACK/BLACK;https://thesportsedit.com/products/alo-yoga-goddess-ribbed-legging-black;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Juneberry/Black;https://thesportsedit.com/products/alo-yoga-goddess-legging-juneberry;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Black Magma/Black;https://thesportsedit.com/products/alo-yoga-goddess-legging-black-magma-black;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;White/White Glossy;https://thesportsedit.com/products/alo-yoga-moto-legging-white;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Black/Black Glossy;https://thesportsedit.com/products/alo-yoga-moto-legging-black;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Slate/Slate Glossy;https://thesportsedit.com/products/alo-yoga-moto-legging-slate-glossy;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Black Glossy;https://thesportsedit.com/products/alo-yoga-high-waist-airbrush-capri-black-glossy;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;White;https://thesportsedit.com/products/alo-yoga-epic-mesh-legging-white;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Black/Buff;https://thesportsedit.com/products/alo-yoga-west-coast-legging-black-buff;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Black Glossy;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-black-glossy;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Juneberry Glossy;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;;Black/Buff;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
